PsyGateID,TutorSName,ProgID,tutorial,attend,TutorGroup,att,Stage,present,presentorexcused
10544,T1,101,1,1,1,1,Stage 1,1,1
10607,T1,101,1,1,1,1,Stage 1,1,1
10521,T1,101,1,1,2,1,Stage 1,1,1
10537,T1,101,1,1,2,1,Stage 1,1,1
10633,T1,101,1,1,2,1,Stage 1,1,1
10672,T1,101,1,1,2,1,Stage 1,1,1
10468,T4,101,1,1,6,1,Stage 1,1,1
10640,T4,101,1,1,6,1,Stage 1,1,1
10686,T4,101,1,1,6,1,Stage 1,1,1
10714,T4,101,1,1,6,1,Stage 1,1,1
10499,T4,101,1,1,7,1,Stage 1,1,1
10555,T4,101,1,1,7,1,Stage 1,1,1
10616,T4,101,1,1,7,1,Stage 1,1,1
10525,T2,101,1,1,10,1,Stage 1,1,1
10528,T2,101,1,1,10,1,Stage 1,1,1
10536,T2,101,1,1,10,1,Stage 1,1,1
10547,T2,101,1,1,10,1,Stage 1,1,1
10651,T2,101,1,1,10,1,Stage 1,1,1
10700,T2,101,1,1,10,1,Stage 1,1,1
10803,T14,101,1,1,15,1,Stage 1,1,1
10756,T16,101,1,1,18,1,Stage 1,1,1
10415,T19,101,1,1,19,1,Stage 1,1,1
10432,T19,101,1,2,19,0,Stage 1,0,0
10461,T19,101,1,1,19,1,Stage 1,1,1
10518,T19,101,1,1,19,1,Stage 1,1,1
10583,T19,101,1,1,19,1,Stage 1,1,1
10434,T20,101,1,1,20,1,Stage 1,1,1
10540,T20,101,1,1,20,1,Stage 1,1,1
10543,T20,101,1,1,20,1,Stage 1,1,1
10623,T20,101,1,1,20,1,Stage 1,1,1
10629,T20,101,1,1,20,1,Stage 1,1,1
10737,T20,101,1,1,20,1,Stage 1,1,1
10447,T20,101,1,2,21,0,Stage 1,0,0
10480,T20,101,1,2,21,0,Stage 1,0,0
10552,T20,101,1,1,21,1,Stage 1,1,1
10683,T20,101,1,1,21,1,Stage 1,1,1
10703,T20,101,1,1,21,1,Stage 1,1,1
10711,T20,101,1,1,21,1,Stage 1,1,1
10417,T21,101,1,1,22,1,Stage 1,1,1
10446,T21,101,1,1,22,1,Stage 1,1,1
10489,T21,101,1,1,22,1,Stage 1,1,1
10553,T21,101,1,1,22,1,Stage 1,1,1
